track_id,track_name,track_type,aircraft_type,track_start_time,track_end_time,lifetime,timestamp,range,azimuth,elevation,speed,heading,ai_generated_tags
1001,FIGHTER-RAPTOR-001,incoming,F-16,2025-11-12T13:59:30.066032,2025-11-12T14:49:30.066032,3000.0,2025-11-12T13:59:30.066032,80.0,45.0,40000.0,550.0,180.0,very_fast_moving; variable_speed; supersonic_capable; minimal_maneuvering; curved_path; cruise_altitude; single_engine; incoming_track
1001,FIGHTER-RAPTOR-001,incoming,F-16,2025-11-12T13:59:30.066032,2025-11-12T14:49:30.066032,3000.0,2025-11-12T14:00:00.066032,85.70336259825096,59.22012563760149,39989.93338235942,568.9888680360624,202.71014932324923,very_fast_moving; variable_speed; supersonic_capable; minimal_maneuvering; curved_path; cruise_altitude; single_engine; incoming_track
1001,FIGHTER-RAPTOR-001,incoming,F-16,2025-11-12T13:59:30.066032,2025-11-12T14:49:30.066032,3000.0,2025-11-12T14:00:30.066032,91.3550746616246,73.08301011286385,39959.77406415398,587.6721980771619,224.59949467923929,very_fast_moving; variable_speed; supersonic_capable; minimal_maneuvering; curved_path; cruise_altitude; single_engine; incoming_track
1001,FIGHTER-RAPTOR-001,incoming,F-16,2025-11-12T13:59:30.066032,2025-11-12T14:49:30.066032,3000.0,2025-11-12T14:01:00.066032,96.90395341048578,86.24038695546693,39909.64348631354,605.7493683490492,244.8768980946717,very_fast_moving; variable_speed; supersonic_capable; minimal_maneuvering; curved_path; cruise_altitude; single_engine; incoming_track
1001,FIGHTER-RAPTOR-001,incoming,F-16,2025-11-12T13:59:30.066032,2025-11-12T14:49:30.066032,3000.0,2025-11-12T14:01:30.066032,102.29974733961964,98.36171361491763,39839.74350698178,622.9295104150704,262.80948137785344,very_fast_moving; variable_speed; supersonic_capable; minimal_maneuvering; curved_path; cruise_altitude; single_engine; incoming_track
1001,FIGHTER-RAPTOR-001,incoming,F-16,2025-11-12T13:59:30.066032,2025-11-12T14:49:30.066032,3000.0,2025-11-12T14:02:00.066032,107.49359130364462,109.14247542409768,39750.355588704726,638.9361893581961,277.7491142460403,very_fast_moving; variable_speed; supersonic_capable; minimal_maneuvering; curved_path; cruise_altitude; single_engine; incoming_track
1001,FIGHTER-RAPTOR-001,incoming,F-16,2025-11-12T13:59:30.066032,2025-11-12T14:49:30.066032,3000.0,2025-11-12T14:02:30.066032,112.43844904733584,118.3118356845302,39641.83966508036,653.5118517223168,289.1558394425422,very_fast_moving; variable_speed; supersonic_capable; minimal_maneuvering; curved_path; cruise_altitude; single_engine; incoming_track
1001,FIGHTER-RAPTOR-001,incoming,F-16,2025-11-12T13:59:30.066032,2025-11-12T14:49:30.066032,3000.0,2025-11-12T14:03:00.066032,117.0895391732363,125.63943968622024,39514.63269143311,666.4219696437635,296.617388198825,very_fast_moving; variable_speed; supersonic_capable; minimal_maneuvering; curved_path; cruise_altitude; single_engine; incoming_track
1001,FIGHTER-RAPTOR-001,incoming,F-16,2025-11-12T13:59:30.066032,2025-11-12T14:49:30.066032,3000.0,2025-11-12T14:03:30.066032,121.40474068892672,130.94120172996668,39369.246885348926,677.4588144924271,299.864080701961,very_fast_moving; variable_speed; supersonic_capable; minimal_maneuvering; curved_path; cruise_altitude; single_engine; incoming_track
1001,FIGHTER-RAPTOR-001,incoming,F-16,2025-11-12T13:59:30.066032,2025-11-12T14:49:30.066032,3000.0,2025-11-12T14:04:00.066032,125.3449744612555,134.08392976928394,39206.26766415591,686.4447993031778,298.7785730257119,very_fast_moving; variable_speed; supersonic_capable; minimal_maneuvering; curved_path; cruise_altitude; single_engine; incoming_track
